year,sex,age,resident_labour_force_participation_rate
1991,male,25-64,92.6
1991,male,15-24,55.9
1991,male,25-54,97.5
1991,male,55-64,59.7
1991,male,65 & Over,19.9
1991,female,25-64,51.5
1991,female,15-24,53.7
1991,female,25-54,56.6
1991,female,55-64,17.1
1991,female,65 & Over,4.1
1992,male,25-64,92.3
1992,male,15-24,55
1992,male,25-54,97
1992,male,55-64,60.9
1992,male,65 & Over,22.9
1992,female,25-64,52.8
1992,female,15-24,52
1992,female,25-54,57.9
1992,female,55-64,17.8
1992,female,65 & Over,4.5
1993,male,25-64,92.4
1993,male,15-24,53.2
1993,male,25-54,96.9
1993,male,55-64,61.9
1993,male,65 & Over,22
1993,female,25-64,52.4
1993,female,15-24,50.6
1993,female,25-54,57.7
1993,female,55-64,17.9
1993,female,65 & Over,4
1994,male,25-64,92.8
1994,male,15-24,51.6
1994,male,25-54,97.2
1994,male,55-64,63
1994,male,65 & Over,23.9
1994,female,25-64,53.5
1994,female,15-24,50.5
1994,female,25-54,58.6
1994,female,55-64,20.3
1994,female,65 & Over,4.8
1996,male,25-64,93
1996,male,15-24,47.6
1996,male,25-54,97.1
1996,male,55-64,65.2
1996,male,65 & Over,21.9
1996,female,25-64,56.7
1996,female,15-24,46.1
1996,female,25-54,61.7
1996,female,55-64,22.8
1996,female,65 & Over,5.1
1997,male,25-64,92.8
1997,male,15-24,44.6
1997,male,25-54,96.9
1997,male,55-64,64.8
1997,male,65 & Over,21.2
1997,female,25-64,56.5
1997,female,15-24,44.5
1997,female,25-54,61.8
1997,female,55-64,22.2
1997,female,65 & Over,5.1
1998,male,25-64,92.7
1998,male,15-24,41.7
1998,male,25-54,96.9
1998,male,55-64,64.8
1998,male,65 & Over,18.7
1998,female,25-64,57.7
1998,female,15-24,39.2
1998,female,25-54,62.9
1998,female,55-64,23.1
1998,female,65 & Over,4.4
1999,male,25-64,92.4
1999,male,15-24,42.6
1999,male,25-54,96.5
1999,male,55-64,65.2
1999,male,65 & Over,21.5
1999,female,25-64,58.6
1999,female,15-24,42.9
1999,female,25-54,63.6
1999,female,55-64,26.3
1999,female,65 & Over,5
2001,male,25-64,92.4
2001,male,15-24,42.4
2001,male,25-54,96.5
2001,male,55-64,64.2
2001,male,65 & Over,20.8
2001,female,25-64,60.6
2001,female,15-24,40.4
2001,female,25-54,65.4
2001,female,55-64,28
2001,female,65 & Over,5
2002,male,25-64,92.4
2002,male,15-24,39.6
2002,male,25-54,96.4
2002,male,55-64,67.6
2002,male,65 & Over,19.8
2002,female,25-64,60
2002,female,15-24,36.4
2002,female,25-54,65.2
2002,female,55-64,29.5
2002,female,65 & Over,4.7
2003,male,25-64,91.7
2003,male,15-24,38.8
2003,male,25-54,96.2
2003,male,55-64,66.6
2003,male,65 & Over,19.2
2003,female,25-64,60.8
2003,female,15-24,37.1
2003,female,25-54,66.6
2003,female,55-64,28.5
2003,female,65 & Over,5
2004,male,25-64,91.6
2004,male,15-24,39.1
2004,male,25-54,96
2004,male,55-64,68
2004,male,65 & Over,17.4
2004,female,25-64,61.6
2004,female,15-24,37
2004,female,25-54,67.3
2004,female,55-64,31.3
2004,female,65 & Over,5.1
2006,male,25-64,92.7
2006,male,15-24,39.1
2006,male,25-54,96.4
2006,male,55-64,74.9
2006,male,65 & Over,22
2006,female,25-64,65.3
2006,female,15-24,38.7
2006,female,25-54,70.8
2006,female,55-64,37.7
2006,female,65 & Over,8.3
2007,male,25-64,93
2007,male,15-24,37.9
2007,male,25-54,96.4
2007,male,55-64,77.5
2007,male,65 & Over,23.5
2007,female,25-64,66
2007,female,15-24,35.8
2007,female,25-54,71.4
2007,female,55-64,39.8
2007,female,65 & Over,8
2007a,male,25-64,93
2007a,male,15-24,37.9
2007a,male,25-54,96.4
2007a,male,55-64,77.4
2007a,male,65 & Over,23.5
2007a,female,25-64,66
2007a,female,15-24,35.7
2007a,female,25-54,71.6
2007a,female,55-64,39.9
2007a,female,65 & Over,8
2008,male,25-64,92.5
2008,male,15-24,37.5
2008,male,25-54,96.1
2008,male,55-64,76.6
2008,male,65 & Over,25
2008,female,25-64,67.4
2008,female,15-24,36.7
2008,female,25-54,73
2008,female,55-64,41.8
2008,female,65 & Over,8.9
2009,male,25-64,92.9
2009,male,15-24,37.4
2009,male,25-54,96.2
2009,male,55-64,79.4
2009,male,65 & Over,27.1
2009,female,25-64,67.6
2009,female,15-24,33.7
2009,female,25-54,73.5
2009,female,55-64,42.1
2009,female,65 & Over,9.3
2010,male,25-64,92.1
2010,male,15-24,40.7
2010,male,25-54,95.8
2010,male,55-64,77.7
2010,male,65 & Over,27.3
2010,female,25-64,68.4
2010,female,15-24,37.5
2010,female,25-54,74.4
2010,female,55-64,44.7
2010,female,65 & Over,10
2011,male,25-64,92.1
2011,male,15-24,37.6
2011,male,25-54,95.7
2011,male,55-64,79.2
2011,male,65 & Over,30.9
2011,female,25-64,69.9
2011,female,15-24,35.7
2011,female,25-54,75.7
2011,female,55-64,47.8
2011,female,65 & Over,11.9
2012,male,25-64,92.5
2012,male,15-24,39.1
2012,male,25-54,95.4
2012,male,55-64,82.3
2012,male,65 & Over,32.4
2012,female,25-64,70.9
2012,female,15-24,36.4
2012,female,25-54,76.6
2012,female,55-64,49.7
2012,female,65 & Over,13.7
2013,male,25-64,92.2
2013,male,15-24,37.7
2013,male,25-54,95.3
2013,male,55-64,81.9
2013,male,65 & Over,34.9
2013,female,25-64,71.7
2013,female,15-24,34.5
2013,female,25-54,77.1
2013,female,55-64,52.4
2013,female,65 & Over,14.8
2014,male,25-64,92.2
2014,male,15-24,39.5
2014,male,25-54,95.3
2014,male,55-64,82.7
2014,male,65 & Over,36
2014,female,25-64,73
2014,female,15-24,35.4
2014,female,25-54,78.7
2014,female,55-64,54.2
2014,female,65 & Over,16.3
2015,male,25-64,92.7
2015,male,15-24,41.3
2015,male,25-54,95.7
2015,male,55-64,83.2
2015,male,65 & Over,36
2015,female,25-64,74.1
2015,female,15-24,39.8
2015,female,25-54,79.6
2015,female,55-64,55.9
2015,female,65 & Over,17.6
2016,male,25-64,92.2
2016,male,15-24,41
2016,male,25-54,95.2
2016,male,55-64,83.2
2016,male,65 & Over,37
2016,female,25-64,74.9
2016,female,15-24,37.7
2016,female,25-54,80.6
2016,female,55-64,56.4
2016,female,65 & Over,18
2017,male,25-64,92.7
2017,male,15-24,40.5
2017,male,25-54,95.7
2017,male,55-64,83.2
2017,male,65 & Over,37.1
2017,female,25-64,75.1
2017,female,15-24,35.7
2017,female,25-54,80.8
2017,female,55-64,56.1
2017,female,65 & Over,18.2
2018,male,25-64,92
2018,male,15-24,39.2
2018,male,25-54,95.2
2018,male,55-64,82.2
2018,male,65 & Over,38.2
2018,female,25-64,74.8
2018,female,15-24,36.9
2018,female,25-54,80.8
2018,female,55-64,55.9
2018,female,65 & Over,19.2
2019,male,25-64,92
2019,male,15-24,38.6
2019,male,25-54,95.3
2019,male,55-64,82.3
2019,male,65 & Over,38.7
2019,female,25-64,76.1
2019,female,15-24,37.9
2019,female,25-54,81.9
2019,female,55-64,57.7
2019,female,65 & Over,20.2
2020,male,25-64,92
2020,male,15-24,36.6
2020,male,25-54,95.1
2020,male,55-64,82.7
2020,male,65 & Over,40.1
2020,female,25-64,76.6
2020,female,15-24,35.4
2020,female,25-54,82.4
2020,female,55-64,59
2020,female,65 & Over,21.7
2021,male,25-64,92.7
2021,male,15-24,40.4
2021,male,25-54,95.5
2021,male,55-64,84.2
2021,male,65 & Over,42.8
2021,female,25-64,78.6
2021,female,15-24,42.3
2021,female,25-54,84.7
2021,female,55-64,59.9
2021,female,65 & Over,24.2
2022,male,25-64,92.5
2022,male,15-24,40.1
2022,male,25-54,95.4
2022,male,55-64,84.1
2022,male,65 & Over,41.5
2022,female,25-64,78.9
2022,female,15-24,35.1
2022,female,25-54,84.4
2022,female,55-64,61.6
2022,female,65 & Over,24
2023,male,25-64,91.8
2023,male,15-24,36.8
2023,male,25-54,94.6
2023,male,55-64,83.5
2023,male,65 & Over,41
2023,female,25-64,79
2023,female,15-24,36.2
2023,female,25-54,85
2023,female,55-64,61.1
2023,female,65 & Over,23.2
2024,male,25-64,91.8
2024,male,15-24,36.2
2024,male,25-54,94.8
2024,male,55-64,83.1
2024,male,65 & Over,40.8
2024,female,25-64,80.7
2024,female,15-24,31
2024,female,25-54,86.6
2024,female,55-64,62.6
2024,female,65 & Over,25.4
2025,male,25-64,91.8
2025,male,15-24,34.5
2025,male,25-54,94.8
2025,male,55-64,83.2
2025,male,65 & Over,40.4
2025,female,25-64,80.5
2025,female,15-24,32.9
2025,female,25-54,86.2
2025,female,55-64,63.6
2025,female,65 & Over,25.3
